AreaCode,RegionName
E12000004,East Midlands
E12000006,East of England
E12000007,London
E12000001,North East
E12000002,North West
E12000008,South East
E12000009,South West
E12000005,West Midlands Region
E12000003,Yorkshire and The Humber
N92000001,Northern Ireland
S92000003,Scotland
W92000004,Wales
E92000001,England
